episode,image_key,num_frames,num_pairs,mean_motion_px,rms_motion_px,mean_jitter_px,rms_jitter_px,p95_jitter_px,max_jitter_px,mean_response,plot_path
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_37.hdf5,/observations/images/cam0,1377,1376,0.100804,0.197701,0.051950,0.102821,0.169808,0.781714,0.974703,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_37_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_38.hdf5,/observations/images/cam0,1377,1376,0.112241,0.201046,0.047134,0.084313,0.130509,0.789987,0.974476,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_38_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_39.hdf5,/observations/images/cam0,1377,1376,0.111296,0.197922,0.056799,0.100547,0.176788,0.752065,0.974824,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_39_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_40.hdf5,/observations/images/cam0,1377,1376,0.125383,0.192597,0.067011,0.110332,0.209390,0.763967,0.970550,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_40_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_41.hdf5,/observations/images/cam0,1377,1376,0.112334,0.206245,0.049572,0.088804,0.146666,0.782511,0.974456,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_41_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_42.hdf5,/observations/images/cam0,1377,1376,0.113225,0.190883,0.058513,0.104362,0.178250,0.896866,0.974836,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_42_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_43.hdf5,/observations/images/cam0,1377,1376,0.125562,0.218259,0.056474,0.101688,0.190330,0.732063,0.978721,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_43_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_44.hdf5,/observations/images/cam0,1377,1376,0.123086,0.216736,0.050327,0.091465,0.148933,0.745143,0.977592,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_44_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_45.hdf5,/observations/images/cam0,1377,1376,0.120445,0.187522,0.062693,0.091326,0.188845,0.545155,0.967054,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_45_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_46.hdf5,/observations/images/cam0,1377,1376,0.122067,0.209637,0.052340,0.093043,0.150820,0.753390,0.973553,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_46_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_47.hdf5,/observations/images/cam0,1377,1376,0.179382,0.249742,0.092765,0.138541,0.320698,0.900707,0.961559,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_47_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_48.hdf5,/observations/images/cam0,1377,1376,0.118148,0.208361,0.058952,0.110866,0.211759,0.785513,0.973340,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_48_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_49.hdf5,/observations/images/cam0,1377,1376,0.109004,0.184592,0.062522,0.104602,0.227430,0.700523,0.968289,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_49_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_50.hdf5,/observations/images/cam0,1377,1376,0.123323,0.203661,0.057985,0.103989,0.199507,0.707383,0.972223,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_50_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_51.hdf5,/observations/images/cam0,1377,1376,0.126489,0.211712,0.056875,0.108246,0.170014,1.018424,0.970769,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_51_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_52.hdf5,/observations/images/cam0,1377,1376,0.120586,0.199295,0.060562,0.099403,0.201069,0.671496,0.970170,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_52_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_53.hdf5,/observations/images/cam0,1377,1376,0.147435,0.241919,0.059091,0.117195,0.171551,1.299130,0.969428,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_53_rgb_jitter.png
