300.000	0.00	400.00	0.00	0.00	90.00	40.00	40.00	0.00
300.000	0.00	400.00	0.00	0.00	90.00	40.00	40.00	6.00
500.000	0.00	400.00	0.00	0.00	90.00	40.00	40.00	0.00
500.000	0.00	400.00	0.00	0.00	90.00	40.00	40.00	6.00
650.000	-300.00	430.00	-18.00	-20.00	85.00	40.00	40.00	0.00
650.000	-300.00	430.00	-18.00	-20.00	85.00	40.00	40.00	6.00
820.000	-260.00	410.00	20.00	-18.00	70.00	40.00	40.00	0.00
820.000	-260.00	410.00	20.00	-18.00	70.00	40.00	40.00	6.00
880.000	-90.00	445.00	-30.00	8.00	105.00	40.00	40.00	0.00
880.000	-90.00	445.00	-30.00	8.00	105.00	40.00	40.00	6.00
720.000	160.00	420.00	35.00	-12.00	95.00	40.00	40.00	0.00
720.000	160.00	420.00	35.00	-12.00	95.00	40.00	40.00	6.00
540.000	300.00	390.00	-22.00	30.00	75.00	40.00	40.00	0.00
540.000	300.00	390.00	-22.00	30.00	75.00	40.00	40.00	6.00
360.000	330.00	370.00	10.00	36.00	60.00	40.00	40.00	0.00
360.000	330.00	370.00	10.00	36.00	60.00	40.00	40.00	6.00
260.000	180.00	350.00	-12.00	18.00	100.00	40.00	40.00	0.00
260.000	180.00	350.00	-12.00	18.00	100.00	40.00	40.00	6.00
300.000	-120.00	340.00	8.00	-8.00	82.00	40.00	40.00	0.00
300.000	-120.00	340.00	8.00	-8.00	82.00	40.00	40.00	6.00
420.000	-330.00	360.00	-28.00	22.00	65.00	40.00	40.00	0.00
420.000	-330.00	360.00	-28.00	22.00	65.00	40.00	40.00	6.00
620.000	-340.00	330.00	32.00	20.00	112.00	40.00	40.00	0.00
620.000	-340.00	330.00	32.00	20.00	112.00	40.00	40.00	6.00
780.000	-180.00	315.00	-35.00	-5.00	90.00	40.00	40.00	0.00
780.000	-180.00	315.00	-35.00	-5.00	90.00	40.00	40.00	6.00
890.000	80.00	320.00	18.00	34.00	56.00	40.00	40.00	0.00
890.000	80.00	320.00	18.00	34.00	56.00	40.00	40.00	6.00
760.000	320.00	305.00	-8.00	45.00	78.00	40.00	40.00	0.00
760.000	320.00	305.00	-8.00	45.00	78.00	40.00	40.00	6.00
560.000	260.00	285.00	28.00	-28.00	98.00	40.00	40.00	0.00
560.000	260.00	285.00	28.00	-28.00	98.00	40.00	40.00	6.00
390.000	120.00	270.00	-24.00	38.00	70.00	40.00	40.00	0.00
390.000	120.00	270.00	-24.00	38.00	70.00	40.00	40.00	6.00
270.000	-20.00	260.00	14.00	-18.00	110.00	40.00	40.00	0.00
270.000	-20.00	260.00	14.00	-18.00	110.00	40.00	40.00	6.00
340.000	-260.00	245.00	-18.00	12.00	84.00	40.00	40.00	0.00
340.000	-260.00	245.00	-18.00	12.00	84.00	40.00	40.00	6.00
520.000	-300.00	235.00	22.00	-10.00	72.00	40.00	40.00	0.00
520.000	-300.00	235.00	22.00	-10.00	72.00	40.00	40.00	6.00
710.000	-260.00	220.00	-8.00	-12.00	88.00	40.00	40.00	0.00
710.000	-260.00	220.00	-8.00	-12.00	88.00	40.00	40.00	6.00
850.000	-160.00	210.00	-4.00	-6.00	92.00	40.00	40.00	0.00
850.000	-160.00	210.00	-4.00	-6.00	92.00	40.00	40.00	6.00
875.000	40.00	205.00	3.00	-2.00	96.00	40.00	40.00	0.00
875.000	40.00	205.00	3.00	-2.00	96.00	40.00	40.00	6.00
790.000	220.00	200.00	8.00	4.00	101.00	40.00	40.00	0.00
790.000	220.00	200.00	8.00	4.00	101.00	40.00	40.00	6.00
610.000	320.00	195.00	12.00	8.00	105.00	40.00	40.00	0.00
610.000	320.00	195.00	12.00	8.00	105.00	40.00	40.00	6.00
430.000	300.00	190.00	15.00	12.00	100.00	40.00	40.00	0.00
430.000	300.00	190.00	15.00	12.00	100.00	40.00	40.00	6.00
290.000	180.00	185.00	12.00	15.00	94.00	40.00	40.00	0.00
290.000	180.00	185.00	12.00	15.00	94.00	40.00	40.00	6.00
265.000	-20.00	180.00	8.00	10.00	88.00	40.00	40.00	0.00
265.000	-20.00	180.00	8.00	10.00	88.00	40.00	40.00	6.00
310.000	-210.00	178.00	4.00	4.00	82.00	40.00	40.00	0.00
310.000	-210.00	178.00	4.00	4.00	82.00	40.00	40.00	6.00
460.000	-330.00	175.00	-2.00	-2.00	78.00	40.00	40.00	0.00
460.000	-330.00	175.00	-2.00	-2.00	78.00	40.00	40.00	6.00
650.000	-310.00	172.00	-6.00	-6.00	74.00	40.00	40.00	0.00
650.000	-310.00	172.00	-6.00	-6.00	74.00	40.00	40.00	6.00
830.000	-230.00	170.00	-10.00	-8.00	70.00	40.00	40.00	0.00
830.000	-230.00	170.00	-10.00	-8.00	70.00	40.00	40.00	6.00
895.000	-40.00	168.00	-12.00	-10.00	66.00	40.00	40.00	0.00
895.000	-40.00	168.00	-12.00	-10.00	66.00	40.00	40.00	6.00
810.000	150.00	166.00	-8.00	-6.00	62.00	40.00	40.00	0.00
810.000	150.00	166.00	-8.00	-6.00	62.00	40.00	40.00	6.00
620.000	250.00	165.00	-4.00	-2.00	58.00	40.00	40.00	0.00
620.000	250.00	165.00	-4.00	-2.00	58.00	40.00	40.00	6.00
