753.017883	240.451477	277.660065	-0.022713	-0.055067	2.577652	0.000000	0.000000	0.000000	725.000000	158.710007
753.016357	240.455627	277.638123	-0.022734	-0.055023	2.577655	0.000000	0.000000	0.000000	725.000000	158.710007
753.014587	240.460831	277.610901	-0.022762	-0.054968	2.577658	0.000000	0.000000	0.000000	725.000000	150.639999
753.012573	240.467072	277.578400	-0.022795	-0.054901	2.577663	0.000000	0.000000	0.000000	725.000000	150.639999
753.010254	240.474365	277.540680	-0.022835	-0.054822	2.577667	0.000000	0.000000	0.000000	725.000000	150.639999
753.007751	240.482712	277.497681	-0.022880	-0.054732	2.577673	0.000000	0.000000	0.000000	725.000000	150.639999
753.004883	240.492096	277.449432	-0.022932	-0.054630	2.577679	0.000000	0.000000	0.000000	725.000000	150.639999
753.001831	240.502502	277.395966	-0.022989	-0.054517	2.577686	0.000000	0.000000	0.000000	725.000000	150.639999
752.998535	240.513962	277.337372	-0.023053	-0.054391	2.577693	0.000000	0.000000	0.000000	725.000000	150.639999
752.994934	240.526443	277.273621	-0.023123	-0.054255	2.577701	0.000000	0.000000	0.000000	725.000000	150.639999
752.991089	240.539948	277.204865	-0.023198	-0.054107	2.577710	0.000000	0.000000	0.000000	725.000000	150.639999
752.987061	240.554459	277.131165	-0.023280	-0.053948	2.577719	0.000000	0.000000	0.000000	725.000000	150.639999
752.982788	240.569962	277.052673	-0.023367	-0.053777	2.577729	0.000000	0.000000	0.000000	725.000000	150.639999
752.978333	240.586441	276.969513	-0.023460	-0.053596	2.577739	0.000000	0.000000	0.000000	725.000000	150.639999
752.973633	240.603867	276.881866	-0.023559	-0.053404	2.577749	0.000000	0.000000	0.000000	725.000000	150.639999
752.968811	240.622238	276.789917	-0.023664	-0.053202	2.577760	0.000000	0.000000	0.000000	725.000000	150.639999
752.963806	240.641510	276.693909	-0.023775	-0.052990	2.577772	0.000000	0.000000	0.000000	725.000000	150.639999
752.958618	240.661667	276.594086	-0.023891	-0.052768	2.577784	0.000000	0.000000	0.000000	725.000000	150.639999
752.953369	240.682663	276.490662	-0.024013	-0.052537	2.577796	0.000000	0.000000	0.000000	725.000000	158.710007
752.947998	240.704468	276.383911	-0.024140	-0.052297	2.577808	0.000000	0.000000	0.000000	725.000000	158.710007
752.942566	240.727066	276.274078	-0.024273	-0.052048	2.577821	0.000000	0.000000	0.000000	725.000000	158.710007
752.937012	240.750397	276.161438	-0.024411	-0.051790	2.577833	0.000000	0.000000	0.000000	725.000000	158.710007
752.931519	240.774460	276.046265	-0.024554	-0.051525	2.577846	0.000000	0.000000	0.000000	725.000000	158.710007
752.925964	240.799210	275.928741	-0.024703	-0.051252	2.577858	0.000000	0.000000	0.000000	725.000000	158.710007
752.920410	240.824615	275.809082	-0.024856	-0.050971	2.577870	0.000000	0.000000	0.000000	725.000000	158.710007
752.914856	240.850677	275.687500	-0.025015	-0.050683	2.577882	0.000000	0.000000	0.000000	725.000000	158.710007
752.909363	240.877380	275.564117	-0.025179	-0.050387	2.577893	0.000000	0.000000	0.000000	725.000000	150.639999
752.903870	240.904694	275.439087	-0.025347	-0.050085	2.577904	0.000000	0.000000	0.000000	725.000000	150.639999
752.898438	240.932632	275.312500	-0.025521	-0.049776	2.577915	0.000000	0.000000	0.000000	725.000000	150.639999
752.893066	240.961182	275.184479	-0.025700	-0.049461	2.577925	0.000000	0.000000	0.000000	725.000000	150.639999
752.887695	240.990341	275.055023	-0.025885	-0.049138	2.577934	0.000000	0.000000	0.000000	725.000000	150.639999
752.882385	241.020111	274.924255	-0.026074	-0.048809	2.577943	0.000000	0.000000	0.000000	725.000000	150.639999
752.877075	241.050491	274.792175	-0.026268	-0.048474	2.577950	0.000000	0.000000	0.000000	725.000000	150.639999
